#Wavelength[um] Transit_Depth(Rp/Rstar)^2        
7.334370137826373703e-01 2.013204085368929322e-02
7.363707618377679509e-01 2.010531413254475555e-02
7.393162448851190449e-01 2.008234788822706868e-02
7.422735098646596752e-01 2.006626314212270334e-02
7.452426039041182282e-01 2.006399684492104346e-02
7.482235743197346300e-01 2.004806326238482359e-02
7.512164686170136330e-01 2.003822473408987601e-02
7.542213344914817652e-01 2.001650660631333623e-02
7.572382198294477229e-01 2.002821810884932233e-02
7.602671727087656484e-01 2.005672950232010102e-02
7.633082413996006288e-01 2.007809441526548985e-02
7.663614743651989691e-01 2.013364346483009423e-02
7.694269202626597970e-01 2.013038919551142503e-02
7.725046279437104424e-01 2.014037921010575216e-02
7.755946464554852593e-01 2.015682490904123492e-02
7.786970250413072225e-01 2.014613654058329886e-02
7.818118131414724115e-01 2.012949070484432168e-02
7.849390603940383793e-01 2.015355926614170734e-02
7.880788166356144098e-01 2.012924879147522106e-02
7.912311319021569922e-01 2.015687307112988547e-02
7.943960564297655180e-01 2.014959626194395836e-02
7.975736406554845281e-01 2.011477536320181725e-02
8.007639352181065151e-01 2.010673423150628053e-02
8.039669909589789443e-01 2.010194336431808670e-02
8.071828589228148276e-01 2.007512035768340558e-02
8.104115903585061842e-01 2.004121765497743346e-02
8.136532367199402760e-01 1.999550756828344378e-02
8.169078496668199518e-01 1.997877778929127088e-02
8.201754810654874328e-01 2.001273086173049887e-02
8.234561829897493190e-01 2.002145985937282477e-02
8.267500077217083687e-01 1.999816768309361018e-02
8.300570077525952772e-01 2.005405518676220411e-02
8.333772357836056743e-01 2.005651767361255403e-02
8.367107447267401188e-01 2.007435036576353526e-02
8.400575877056470908e-01 2.006315310311306346e-02
8.434178180564695371e-01 2.011956744800332680e-02
8.467914893286955236e-01 2.016035395968647850e-02
8.501786552860102208e-01 2.021295199581467361e-02
8.535793699071543283e-01 2.027873521643049765e-02
8.569936873867830540e-01 2.011565332185842603e-02
8.604216621363300899e-01 2.010128182916540163e-02
8.638633487848753623e-01 2.007450115853501998e-02
8.673188021800150027e-01 2.022961611226301720e-02
8.707880773887352044e-01 2.003891297091750165e-02
8.742712296982900755e-01 2.002343017468119490e-02
8.777683146170831563e-01 1.998050937574252089e-02
8.812793878755513788e-01 1.998893121449580451e-02
8.848045054270535781e-01 1.992649853234141483e-02
8.883437234487617795e-01 2.001316766427575430e-02
8.918970983425568155e-01 1.993740200025712062e-02
8.954646867359271623e-01 2.000229960848434740e-02
8.990465454828707736e-01 1.996867481514840240e-02
9.026427316648023558e-01 1.997721383010003099e-02
9.062533025914615292e-01 1.994069679939201520e-02
9.098783158018273198e-01 1.994737565806838087e-02
9.135178290650346478e-01 1.992374813779191137e-02
9.171719003812948134e-01 1.987054013596590424e-02
9.208405879828199803e-01 1.989627964529113238e-02
9.245239503347512100e-01 1.992601683241594299e-02
9.282220461360901620e-01 1.991563564524691937e-02
9.319349343206346781e-01 1.993368543508483928e-02
9.356626740579171431e-01 1.995099063142165285e-02
9.394053247541488405e-01 1.991785803124722365e-02
9.431629460531654185e-01 1.992041590956207531e-02
9.469355978373780180e-01 1.988267157052632864e-02
9.507233402287275092e-01 1.987214354903242206e-02
9.545262335896426142e-01 1.986586277520441604e-02
9.583443385240012491e-01 1.985283221451897631e-02
9.621777158780971950e-01 1.984745392500718991e-02
9.660264267416096562e-01 1.983633014876028111e-02
9.698905324485760371e-01 1.981217102049463372e-02
9.737700945783701600e-01 1.990525578996580128e-02
9.776651749566835914e-01 1.989513602023880792e-02
9.815758356565105203e-01 1.989436700876065847e-02
9.855021389991363012e-01 1.988492408694432501e-02
9.894441475551331022e-01 1.989315654237086561e-02
