#Wavelength[um] Fp[W/m2/m] Fp/Fstar[ppm] Fstar[W/m2/m]
2.205541672067631020e-01 1.559228301658557177e+09 6.500567364146315086e+00 4.766610966667636719e+12
2.214363838755901703e-01 1.787465911784452438e+09 1.523870752790486804e+01 2.330992608162909180e+12
2.223221294110925284e-01 1.730704767314673185e+09 8.040811990854473734e+00 4.277345625227635742e+12
2.232114179287369160e-01 1.784218830274689913e+09 5.264709955075337788e+00 6.734803524895640625e+12
2.241042636004518529e-01 1.929845743178066254e+09 4.910566690208087337e+00 7.809841943165155273e+12
2.250006806548536520e-01 2.157089744458844185e+09 8.156605535609243063e+00 5.255451302325213867e+12
2.259006833774730438e-01 2.308144668822948456e+09 8.733782822730445261e+00 5.251844991271822266e+12
2.268042861109829667e-01 2.474127328263048649e+09 9.695846539187828128e+00 5.070929529173333008e+12
2.277115032554268836e-01 2.580025631441206455e+09 7.261557465095064501e+00 7.060663332278857422e+12
2.286223492684485714e-01 2.643429375126145840e+09 7.397093016950786470e+00 7.101627584872086914e+12
2.295368386655223802e-01 2.778990904225702286e+09 8.596452206995408574e+00 6.424201200606242188e+12
2.304549860201844658e-01 2.963761988108186722e+09 6.448069894887173525e+00 9.134080802192695312e+12
2.313768059642651864e-01 2.922579832398251534e+09 9.162078010548691864e+00 6.339042444911304688e+12
2.323023131881222503e-01 3.286626674337760448e+09 9.441017933148257768e+00 6.918035957893565430e+12
2.332315224408747223e-01 3.352362531774076462e+09 1.313453305244617297e+01 5.072097604112515625e+12
2.341644485306381973e-01 3.850994370099614143e+09 2.086387524956408868e+01 3.667998659910808594e+12
2.351011063247607502e-01 4.074609526541834831e+09 1.635972445444480883e+01 4.949499372783659180e+12
2.360415107500598020e-01 4.298302132800972939e+09 2.401710135782678179e+01 3.556539285939744141e+12
2.369856767930600405e-01 4.646850250226343155e+09 2.735147584212505834e+01 3.376207838796255371e+12
2.379336195002322851e-01 5.162834681138368607e+09 3.439354119394698017e+01 2.983064110798978516e+12
2.388853539782332114e-01 4.964566311535276413e+09 3.080524445506473796e+01 3.202638486819032227e+12
2.398408953941461863e-01 5.239396107974380493e+09 3.516342404043344061e+01 2.961019975097937012e+12
2.408002589757227141e-01 5.602954777305437088e+09 4.191835364450142976e+01 2.656220730581333496e+12
2.417634600116256582e-01 5.545856079662360191e+09 1.453538001476336916e+01 7.582169108138666992e+12
2.427305138516721306e-01 5.308255077990414619e+09 9.061798401202125319e+00 1.164095605187826758e+13
2.437014359070788505e-01 5.822234123716734886e+09 1.495740851509163249e+01 7.735431987284453125e+12
2.446762416507071713e-01 5.840145765729109764e+09 1.301195946624611999e+01 8.919330302411755859e+12
2.456549466173099938e-01 6.316219575624988556e+09 1.052550134822503658e+01 1.192520051080881445e+13
2.466375664037792625e-01 6.808544052262187958e+09 1.865083186471521515e+01 7.254497020781712891e+12
2.476241166693943785e-01 7.452625987630759239e+09 1.887644969609489820e+01 7.845854924382040039e+12
2.486146131360719436e-01 9.241677504241325378e+09 4.357809020960084467e+01 4.214381799817049805e+12
2.496090715886161993e-01 8.166585291583865166e+09 2.332261004055521525e+01 6.958483684134788086e+12
2.506075078749706586e-01 8.901420770102460861e+09 2.114714661838459620e+01 8.364862686085119141e+12
2.516099379064705155e-01 9.467135344555580139e+09 5.237569491138609834e+01 3.592030782007761719e+12
2.526163776580964138e-01 1.040472972939867592e+10 7.364337998831153698e+01 2.807684810731722656e+12
2.536268431687287994e-01 8.700853145270532608e+09 2.588417631084960746e+01 6.680035202930059570e+12
2.546413505414037437e-01 8.865060751564310074e+09 3.530215414796546725e+01 4.990358790225109375e+12
2.556599159435693491e-01 9.238034843223781586e+09 1.347284734973869291e+01 1.362609676416501953e+13
2.566825556073435988e-01 1.087738816147280884e+10 1.863585893035985563e+01 1.159915826814494141e+13
2.577092858297729827e-01 1.097009337687460709e+10 1.701501308489071462e+01 1.281236489361149414e+13
2.587401229730920682e-01 1.242436500786092758e+10 2.413617876884981683e+01 1.022955990260566797e+13
2.597750834649844576e-01 1.289640604708678818e+10 3.986139639939250401e+01 6.429355676750769531e+12
2.608141837988444123e-01 1.308683695324871254e+10 3.668883991100283737e+01 7.088461319561846680e+12
2.618574405340398092e-01 1.329649271179116058e+10 2.851052609235186708e+01 9.267938228945675781e+12
2.629048702961759298e-01 1.342223755772368050e+10 4.416798551547702090e+01 6.039049526035692383e+12
2.639564897773606367e-01 1.215144666726827431e+10 1.006093716361227841e+01 2.400163408414232031e+13
2.650123157364701054e-01 1.295277515195411110e+10 9.288304665493392065e+00 2.771262316667652734e+13
