#Wavelength[um] Transit_Depth(Rp/Rstar)^2        
7.975736406554845281e-01 2.002588301506398952e-02
8.007639352181065151e-01 2.001134409626544389e-02
8.039669909589789443e-01 1.999966551108919507e-02
8.071828589228148276e-01 1.996400795919347701e-02
8.104115903585061842e-01 1.992743680545235388e-02
8.136532367199402760e-01 1.986863108282021020e-02
8.169078496668199518e-01 1.984684760344397267e-02
8.201754810654874328e-01 1.987758972881190425e-02
8.234561829897493190e-01 1.988712460006371308e-02
8.267500077217083687e-01 1.986871098676179503e-02
8.300570077525952772e-01 1.993179245933348123e-02
8.333772357836056743e-01 1.992235509551294054e-02
8.367107447267401188e-01 1.994253313371674441e-02
8.400575877056470908e-01 1.993088553042923761e-02
8.434178180564695371e-01 2.000313346950124277e-02
8.467914893286955236e-01 2.006434948789680844e-02
8.501786552860102208e-01 2.009514818850075338e-02
8.535793699071543283e-01 2.013637948719905826e-02
8.569936873867830540e-01 2.002084895947815746e-02
8.604216621363300899e-01 2.000081108175634503e-02
8.638633487848753623e-01 1.997050735273550245e-02
8.673188021800150027e-01 2.006747116211002324e-02
8.707880773887352044e-01 1.991325985822937558e-02
8.742712296982900755e-01 1.988899391568466068e-02
8.777683146170831563e-01 1.983260558970028828e-02
8.812793878755513788e-01 1.982265700332929217e-02
8.848045054270535781e-01 1.975986196959999067e-02
8.883437234487617795e-01 1.986024292425400684e-02
8.918970983425568155e-01 1.976941174172331533e-02
8.954646867359271623e-01 1.984973017423761338e-02
8.990465454828707736e-01 1.980450273830931807e-02
9.026427316648023558e-01 1.981911567331904461e-02
9.062533025914615292e-01 1.978150609023627063e-02
9.098783158018273198e-01 1.977643853955400946e-02
9.135178290650346478e-01 1.975156553626015998e-02
9.171719003812948134e-01 1.969201676475421103e-02
9.208405879828199803e-01 1.973039483222296248e-02
9.245239503347512100e-01 1.977455132812653421e-02
9.282220461360901620e-01 1.977599492778425033e-02
9.319349343206346781e-01 1.979812455977254457e-02
9.356626740579171431e-01 1.980444040998205479e-02
9.394053247541488405e-01 1.976672108422573501e-02
9.431629460531654185e-01 1.976739249327700426e-02
9.469355978373780180e-01 1.972520934991370267e-02
9.507233402287275092e-01 1.971233657358513122e-02
